,heading,text
72,Canadian parliament condemns Trump attacks on Trudeau,Canada’s House of Commons on Monday unanimously condemned President Trump and his aides on for attacks targeting the country’s Prime Minister Justin Trudeau.
73,Trudeau’s Challenge: Managing Trump and Domestic Politics,The security fences are coming down. And the world leaders have jetted off.
74,Trump's attacks against Trudeau unanimously condemned by Canadian lawmakers,President Trump was rebuked by Canada’s House of Commons for lashing out at Prime Minister Justin Trudeau after leaving the Gang of Seven summit in Montreal this weekend.
75,5 Takeaways From Obama's Susan Rice Appointment,"It wasn't exactly a surprise to hear that President Obama named U.N. Ambassador Susan Rice as his next national security adviser.
Almost as soon as it became clear that her role in the administration's Benghazi talking-points snafu meant Senate Republicans would never let her be confirmed as secretary of state if Obama nominated her, the possibility of her taking over from Tom Donilon as Obama's top national security aide was fre"
76,The real reason Obama tapped Susan Rice for national security adviser,"President Obama tapped UN Ambassador Susan Rice Tuesday to serve as our nation's next national security adviser.
Tuesday morning my reaction was why appoint Susan Rice as national security adviser? She will be a DISASTER.
Here's why: I spent seven years working for the most successful NSC adviser in history, Henry Kissinger.
I watched him conceive new policies, negotiate with foreign leaders, ride herd over the bureaucracy
Read more:
http://www.foxnews.com/opinion/2013/06/05/real-reason-obama-tapped-susan..."
77,National security team shuffle may signal more activist stance at White House,"President Obama announced a major shuffle of his national security team on Wednesday, ushering out a cautious Washington insider and elevating two long-time proponents of a larger American role in preventing humanitarian crises and protecting human rights.
The ideological shift signaled by the choices highlights a central dilemma for Obama as he seeks to make a mark on the world at a time of austerity Ã¢â‚¬â€ and war weariness Ã¢â‚¬â€ at home. How ambitious Obama intends to be abroad at a tim"
78,"DHS memo warning of Russian efforts to denigrate Trump's, Biden's health dismissed as poor quality, officials say","A draft Department of Homeland Security (DHS) memo that warned of Russian efforts to question the health of President Trump and Democratic nominee Joe Biden was never disseminated because it was of poor quality and lacked context, DHS officials said Wednesday.
The July 7 memo, originally drafted by DHS’ Office of Intelligence and Analysis and obtained by Fox News, found that “Russian malign influence actors are likely to continue denigrating presidential candidates through allegations of poor mental or physical health to influence the outcome of the 2020 elections.”"
79,DHS withheld July intelligence bulletin calling out Russian attack on Biden’s mental health,"In early July the Department of Homeland Security withheld publication of an intelligence bulletin warning law enforcement agencies of a Russian scheme to promote “allegations about the poor mental health” of former Vice President Joe Biden, according to internal emails and a draft of the document obtained by ABC News.
The draft bulletin, titled “Russia Likely to Denigrate Health of US Candidates to Influence 2020 Election,” was submitted to the agency’s legislative and public affairs office for review on July 7. The analysis was not meant for public consumption, but..."
80,DHS withheld note warning of Russian attacks on Biden's mental health,"The Department of Homeland Security withheld the release of an intelligence bulletin warning law enforcement agencies about a Russian campaign to promote allegations about Democratic nominee Joe Biden's ""poor mental health,"" ABC News reports.
Why it matters: The report comes days after the Office of the Director of National Intelligence said that it will no longer brief congressional committees on election security issues and it echoes allegations from the Trump campaign on Biden's mental fitness. The news is likely to fuel even more accusations from Democrats that President Trump and..."
81,Jan. 6 Committee Probes Trump Phone-Logs Gap,"The House select committee investigating the events surrounding Jan. 6, 2021, is trying to fill in an hourslong gap in White House call logs on the day a pro-Trump mob attacked the U.S. Capitol, lawmakers said.
The committee is looking into the possibility that Mr. Trump used a disposable burner phone that wouldn’t have shown up in call logs. The Washington Post and CBS News jointly reported that records obtained by the committee show a more than 7-hour gap in former President Donald Trump’s phone logs on Jan. 6, from 11:17 a.m. to 6:54..."
82,Jan. 6 committee probing 7.5 hour gap in White House phone logs,"The House Jan. 6 committee is investigating more than seven-and-a-half hours of missing White House phone logs during the Capitol riot last year. 
Fox News confirmed Tuesday that the Jan. 6 committee is probing a gap of seven hours and 37 minutes in White House phone logs of President Trump’s phone calls on Jan. 6, 2021.
The gap runs between 11:17 a.m. ET and 6:54 p.m. ET on Jan. 6 during the heart of the Capitol riot. The log issue was first reported by The Washington Post and CBS News.
The Department of Justice..."
83,White House records turned over to House show 7-hour gap in Trump phone log on Jan. 6,"Internal White House records from the day of the attack on the U.S. Capitol that were turned over to the House select committee show a gap in President Donald Trump's phone logs of seven hours and 37 minutes, including the period when the building was being violently assaulted, according to documents obtained by CBS News' chief election & campaign correspondent Robert Costa and The Washington Post's associate editor Bob Woodward.
The lack of an official White House notation of any calls placed to or by Trump for 457 minutes —..."
84,Fact check: The ninth Republican debate,"The ninth GOP debate featured the top six remaining candidates for the party’s presidential nomination. They repeated several false and misleading claims, and made some new ones, too.
• Sen. Ted Cruz claimed that “we have 80 years of precedent of not confirming Supreme Court justices in an election year.” That’s wrong. Justice Anthony Kennedy was confirmed in 1988, an election year."
85,"Fireworks erupt between Trump and Bush, Rubio and Cruz at GOP debate","Sparks flew at the toughest and liveliest GOP primary debate yet Saturday night, as Donald Trump and Jeb Bush clashed over the Middle East and George W. Bush’s legacy, trading insults at a rapid clip – and the two Cuban-American senators in the race accused each other of lying on immigration and even questioned each other’s Spanish-speaking skills."
86,3 winners and 2 losers from Saturday night's Republican debate,"One might have expected the ninth Republican presidential debate to be a cut above the earlier edition. With Chris Christie out of the race and Ben Carson present but basically out of the running, it was a chance for the race to get serious, for the five candidates who could potentially win this thing to make their cases without much distraction from the B players."
87,Top US lawmakers strike deal to fast-track trade deals,"Top congressional Republicans and Democrats say they've reached a deal to allow President Obama to negotiate trade deals subject to an up-or-down vote from Congress.
The ""fast-track"" legislation comes as Obama seeks a sweeping trade deal with 11 Pacific nations. It would renew presidential authority to present trade deals that Congress can endorse or reject, but not amend.
The Trans-Pacific Partnership proposes a trade agreement involving the United States, Japan, Vietnam, Canada, Mexico and seven other Pacific-rim nations.
The debate scrambles traditional partisan alliances."
88,Senators Introduce ‘Fast Track’ Trade Bill,"Lawmakers introduced fast-track trade legislation into the House and Senate Thursday that could pave the way for President Barack Obama to conclude a major agreement with 11 nations around the Pacific.
The bill, the result of a compromise between Republicans and Democrats on the Senate Finance Committee, is expected to escalate an already-bitter fight with some Democrats and labor unions over what could become a key part of Mr. Obama’s legacy. The committee is expected to vote on the plan next week."
89,Deal Reached on Fast-Track Authority for Obama on Trade Pact,"The leaders of Congress’s tax-writing committees reached agreement Thursday on legislation to give President Obama “fast track” authority to negotiate an ambitious trade accord with 11 other Pacific nations, beginning what is sure to be one of the toughest legislative battles of his last 19 months in office.
The “trade promotion authority” bill — likely to be unveiled Thursday afternoon — would give Congress the power to vote on the Trans-Pacific Partnership once it is completed, but would deny lawmakers the chance to amend what would be the largest trade..."
90,"Kentucky flooding death toll reaches 15 and may double, governor says","The death toll from catastrophic flooding in eastern Kentucky has reached 15 people. 
Gov. Andy Beshear told The Associated Press on Friday that the number is expected to more than double and would ""include some children.""
Search and rescue teams backed by the National Guard looked tirelessly for missing people – in helicopters and boats – and Beshear noted that determining the number of people who remain unaccounted for is ""tough.""
Over 200 have sought shelter and more than 23,000 Kentucky residents were still without power. 
According to tracker PowerOutage.US, 23,185 customers..."
91,Appalachian floods kill at least 15 as rescue teams deploy,"Search and rescue teams backed by the National Guard searched Friday for people missing in record floods that wiped out entire communities in some of the poorest places in America. Kentucky’s governor said 15 people have died, a toll he expected to grow as the rain keeps falling.
“We’ve still got a lot of searching to do,” said Jerry Stacy, the emergency management director in Kentucky ’s hard-hit Perry County. “We still have missing people.”
Powerful floodwaters swallowed towns that hug creeks and streams in Appalachian valleys and hollows, swamping homes and businesses, leaving..."
92,"At least 15 people are dead after Kentucky's catastrophic flooding, and the death toll is expected to rise","At least 15 people are dead following catastrophic flooding in Kentucky, Gov. Andy Beshear told CNN Friday. That number is expected to double, he said, and will include children.
""There's going to be multiple families that we've lost,"" Beshear told Brianna Keilar on CNN's ""New Day."" ""Kids that won't get the opportunity to grow up and experience so much that we have.""
""This is so deadly, and it hit so hard, and it hit in the middle of the night,"" the governor said, adding that although eastern Kentucky often floods, ""we've never..."
93,Heavily Redacted Democratic Memo Counters GOP Account of Russia Probe,"The House Intelligence Committee released a lengthy, extensively redacted Democratic response to a Republican memo alleging bias and misconduct by the FBI and Justice Department early in their investigation of Russian election interference."
94,Democrats' new Russia memo is an anti-Trump political attack,It should come as no surprise that partisan anti-Trump Democrats on the House Intelligence Committee issued a partisan anti-Trump memo Saturday attempting to rebut an earlier memo by committee Republicans dealing with abuses of the Foreign Intelligence Surveillance Act (FISA) Court.
95,Trump Claims Democrats’ Memo ‘Really Verifies’ GOP Memo,"President Trump railed against a Democratic memo countering Republican claims of FBI wrongdoing late Saturday, even as he dismissed its significance. Speaking to Fox News, the president said the memo—released in redacted form Saturday after Trump had earlier objected to its release—“was a nothing.” But he couldn’t seem to stop tweeting or talking about it. Authored by House Intelligence Committee Democrat Adam Schiff, the document lays out a range of information the FBI and Justice Department used to justify wiretapping former Trump adviser Carter Page, undermining allegations in a Republican..."
96,"As Trump Arrives in Israel, His Deal-Making Skills Face a Test","President Trump began a two-day visit to Israel and the West Bank on Monday, wading into a generations-old Middle East standoff that will pose an early test of whether his business deal-making skills can translate to the high-wire world of international diplomacy."
97,Trump lands in Israel: What to watch,"President Donald Trump landed in Israel on Monday for the second leg of his first foreign trip as president where he will tackle the Israeli-Palestinian peace process, address regional security issues and reaffirm the US' commitment to its alliance with Israel."
98,Trump tells Israelis: Arab neighbors in ‘common cause with you’ against Iran,"President Trump, on the second leg of his first foreign trip as commander-in-chief, greeted Israeli leaders in Jerusalem Monday with hopes to lay the groundwork for a peace deal with the Palestinians – saying a “rare opportunity” exists, and the threat posed by Iran is bringing Arab neighbors together toward that goal."
99,FDA Approves Remdesivir for Hospitalized COVID-19 Patients After Drug Was Used to Treat Trump,"The Food and Drug Administration (FDA) on Thursday approved remdesivir for the treatment of hospitalized COVID-19 patients.
The antiviral treatment, which is made by Gilead Sciences and sold as Veklury, was used to treat President Donald Trump after he contracted the virus earlier this month.
Remdesivir previously received emergency use authorization from the FDA in May for patients with severe cases of COVID-19. The agency later expanded its emergency use authorization in August to include patients who were hospitalized as a result of their COVID-19 infections."
100,FDA approves antiviral drug remdesivir as coronavirus treatment,"The Food and Drug Administration granted approval of remdesivir, an antiviral drug from Gilead Sciences and a treatment for COVID-19.
The drug, sold under the name Veklury, will be used for hospitalized COVID-19 patients, Gilead said. It is the first coronavirus disease treatment to receive FDA approval.
“The approval of Veklury marks an important milestone in efforts to help address the pandemic by offering an effective treatment that helps patients recover faster and, in turn, helps preserve scarce healthcare resources,” said Dr. Barry Zingman, a professor at the Albert Einstein..."
101,FDA approves remdesivir as treatment for COVID-19 patients in hospital,"The Food and Drug Administration (FDA) on Thursday approved the antiviral drug remdesivir as a treatment for patients with COVID-19 who require hospitalization.
Given through an IV, remdesivir works to stop replication of SARS-CoV-2, the virus that causes COVID-19, according to the drug's manufacturer, California-based Gilead Sciences, Inc. Previously authorized by the FDA for emergency use to treat COVID-19, the drug is now the first and only approved COVID-19 treatment in the United States, Gilead said in a release.
“Since the beginning of the COVID-19 pandemic, Gilead has worked relentlessly..."
102,Obama feels ‘small’ compared with members of the U.S. Marines,"President Barack Obama is one of the most powerful men in the world. He’s commander in chief of one of its mightiest militaries, too.
Yet in spite of all that, Obama feels inadequate from time to time. Especially when he’s vacationing in Hawaii and working out alongside strapping Marines at their gym.
“The only problem I’ve got when I’m here is having to work out with Marines in the gym,” Obama said during his annual Christmas Day visit with U.S. troops at Marine Corps Base Hawaii in Kaneohe Bay. “Because..."
103,Obama to service members: We never take you for granted,"President Barack Obama thanked troops and their families for their service during Christmas Day remarks at Marine Corps Base Hawaii, noting the six service members who died earlier this week after a suicide attack in Afghanistan at Bagram Air Force Base.
""Even though we have been able to reduce the number of folks who are deployed in places like Iraq and Afghanistan, there are still folks over there every"
104,President Obama Honors Military Families In Christmas Address,"President Barack Obama reminded Americans to honor the sacrifices of military families in his annual Christmas address.
""Every day, the brave men and women of our military serve to keep us safe -- and so do their families,"" he said.
He was joined by First Lady Michelle Obama, who, along with Vice President Joe Biden's wife Dr. Jill Bi"
105,Michigan Orders Faith-Based Adoption Agencies to Violate Their Religious Beliefs,Michigan is ordering faith-based adoption agencies to violate their own religious beliefs and place children with LGBTQ couples.
106,Michigan deal bars LGBTQ discrimination in state adoptions,Faith-based adoption agencies funded by the state will no longer be able to turn away gay couples or LGBTQ individuals because of religious objections.
107,Michigan will no longer fund adoption agencies that refuse gay parents,"Michigan will no longer provide funding to adoption agencies that turn away prospective LGBTQ parents due to religious objections, following a new legal settlement."
108,Officer charged with murder after shooting man in back: What we know,South Carolina family is reeling Wednesday after a videotape showed a North Charleston police officer shooting an apparently unarmed African-American man as he tried to run away.
109,White SC officer charged with murder in shooting death of black man,A South Carolina police officer was arrested and charged with murder Tuesday in the weekend shooting death of a motorist after a traffic stop over a faulty brake light.
110,Video Shows Officer Michael Slager Shooting Unarmed Black Man In The Back In South Carolina,"A white South Carolina police officer was arrested and charged with murder Tuesday after video showed him fatally shooting a fleeing, unarmed black man in the back."
111,Time magazine names Pope Francis its 'Person of the Year',The magazine chose the leader of the Catholic Church for its 87th annual cover.
112,"Pope Francis Is Person Of The Year, 'Time' Says","The new pope has pulled the papacy out of the palace and into the streets, Time says."
113,"Pope Francis' common touch, uncommon influence",Pope Francis selection this week as Time Magazines Person of the Year is only the latest evidence that Jorge Mario Bergoglio has immutably impacted the Church in a startlingly short nine months.
114,Supreme Court won't hear Trump bid to end DACA program,"The Supreme Court said on Monday that it will stay out of the dispute concerning the Deferred Action for Childhood Arrivals program for now, meaning the Trump administration may not be able to end the program March 5 as planned."
115,"In major win for immigrant youth, SCOTUS denies Trump request to take up DACA case By Gabe Ortiz Monday Feb 26, 2018 · 10:07","In a major win for undocumented immigrant youth, the Supreme Court will not hear the Trump administration’s appeal of a lower court decision that partially reinstated the Deferred Action for Childhood Arrivals (DACA program. This means that some DACA renewals can continue, for now:"
116,Supreme Court rejects administration appeal over DACA,The Supreme Court is rejecting the Trump administration's highly unusual bid to get the justices to intervene in the controversy over protections for hundreds of thousands of young immigrants.
117,Biden’s ‘Armageddon’ talk edges beyond bounds of US intel,"President Joe Biden’s warning that the world is at risk of a nuclear “Armageddon” was designed to send an unvarnished message that no one should underestimate the extraordinary danger if Russia deploys tactical nuclear weapons in its war against Ukraine, administration officials said Friday.
The president’s grim assessment, delivered during a Democratic fundraiser on Thursday night, rippled around the globe and appeared to edge beyond the boundaries of current U.S. intelligence assessments. U.S. security officials continue to say they have no evidence that Vladimir Putin has imminent plans for a..."
118,Pompeo rips Biden's 'reckless' Armageddon remark: 'One of the greatest foreign policy failures',"Former Secretary of State Mike Pompeo on Sunday categorized President Biden’s quickly notorious Armageddon comment regarding the nuclear risk posed by Russia as ""reckless"" and demonstrating ""maybe one of the greatest foreign policy failures of the last decades."" 
""Oh my goodness. First of all those comments were reckless. I think that even more importantly, they demonstrate maybe one of the greatest foreign policy failures of the last decades, which was the failure to deter Vladimir Putin in the same way that the Trump administration did for four years,"" Pompeo told..."
119,Kirby: Biden ‘Armageddon’ remark reflects ‘the very high stakes that are in play’,"White House national security spokesman John Kirby in an interview on Sunday said that President Biden’s remark regarding the “prospect of Armageddon” reflects “the very high stakes that are in play” in the wake of Russian President Vladimir Putin’s nuclear threats.
“The president was reflecting the very high stakes that are in play right now, Martha,” Kirty told host Martha Raddatz during an appearance on ABC’s “This Week.”
“When you have modern nuclear power and the leader of that modern nuclear power willing to use irresponsible rhetoric the way that Mr...."
120,"Trump’s “election integrity” commission wants every voter’s name, party ID, and address","A sweeping, alarming request — all in the name of preventing “voter fraud.”"
121,More than half the states refusing to provide voter data to Trump election panel,At least 29 states are pushing back or outright refusing to comply with the Trump administration’s request for voter registration data.
122,Liberal States Get Jittery as Trump Looks to Clamp Down on Voter Fraud,"As the Trump administration looks to clamp down on widespread reports of voter fraud and abuse, some mainly liberal states are pushing back — fearing that Trump is launching a “voter suppression” commission."
123,Madeleine Westerhout: White House aide fired after leaks on Trump family,"Madeleine Westerhout, 29, was abruptly removed on Thursday after the president learned she had been talking to reporters at a dinner this month.
She was drinking and bragging about her access to Mr Trump during his holiday in New Jersey, CBS News reports.
Ms Westerhout had worked with him since the first day of his presidency."
124,Trump's 'gatekeeper' resigns abruptly,"The departure of Madeleine Westerhout, who was widely regarded as Trump's ""gatekeeper"" and had been stationed at the front of the Oval Office, was reported by the New York Times.
The report said Westerhout was considered a ""separated employee"" and would not be allowed back in the White House after the president found out she ""indiscreetly"" divulged information about the Trump family and Oval Office operations in a recent off-the-record dinner with reporters in Bedminster, New Jersey, where Trump had a working vacation."
125,Trump's personal assistant abruptly exits White House after sharing details about President's family,"Washington (CNN)President Donald Trump's personal assistant, who's been with him since the start of his administration, has abruptly left the White House after sharing intimate details about the President's family with reporters, multiple people tell CNN.
Madeleine Westerhout was forced to resign as executive assistant to the President on Thursday after Trump learned she had shared information with reporters at a recent off-the-record meeting, during which she didn't say her comments were off the record, according to sources familiar with her departure. A reporter divulged details about the dinner to..."
126,Florida GOP Wants to Ban Making White People Feel ‘Discomfort’ About Racism,"Facts don’t care about your feelings, but Florida Republicans do—if you’re a white person, that is. 
A new bill pushed by Florida Gov. Ron DeSantis and his allies in the Florida legislature, titled simply “Individual Freedom,” would—among other things—“prohibit classroom instruction and curricula from being used to indoctrinate or persuade students,” and target conversations about racism in the school and workplace.
The bill was introduced by Miami-area Sen. Manny Diaz and passed the Senate Education Committee on a party-line vote Tuesday, according to the Associated Press. 
“An individual, by virtue of his or..."
127,Florida could shield whites from ‘discomfort’ of racist past,"A bill pushed by Republican Florida Gov. Ron DeSantis that would prohibit public schools and private businesses from making white people feel “discomfort” when they teach students or train employees about discrimination in the nation’s past received its first approval Tuesday.
The Senate Education Committee approved the bill that takes aim at critical race theory — though it doesn’t mention it explicitly — on party lines, with Republicans in favor and Democrats opposed.
Democrats argued the bill isn’t needed, would lead to frivolous lawsuits and said it would amount to..."
128,What the Florida CRT Bill Actually Says,"Isaac has already hit the Associated Press for misrepresenting Florida’s anti-critical race theory bill. TV commentators are running with the AP’s spin, claiming that it outlaws “white discomfort,” a phrase nowhere found in the bill.
The actual bill text is here. It nowhere protects any particular racial or ethnic group, but extends its protections equally. It addresses “discomfort” in two places; I will emphasize the relevant sections in bold. One is in the section on prohibited forms of employment discrimination.
Now, the critics have one small point here: It probably would be better..."
129,"White House says Biden will increase refugee cap this year, after Dem fury over original target","The White House on Friday said that President Biden is expected to increase the refugee cap for this fiscal year, just hours after he signed an order that kept it at Trump-era levels and sparked fury from congressional Democrats.
""The President’s directive today has been the subject of some confusion,"" White House Press Secretary Jen Psaki said in an afternoon statement.
Former President Donald Trump lowered the refugee cap for FY 2021 to 15,000 -- something the Biden had pledged both during the campaign and his first days in office..."
130,"After criticism, Biden says he will raise U.S. cap on refugee admissions","President Joe Biden said on Saturday he will raise the cap on the number of refugees admitted this year to the United States, a day after he drew criticism from Democratic lawmakers for agreeing to keep the historically low figure in place. Biden signed an order on Friday extending a 15,000 refugee admissions cap issued by his predecessor Donald Trump through the end of September. In signing the order, Biden shelved a plan announced in February to increase the cap to 62,500.
Biden told reporters in Delaware on Saturday after..."
131,"After outcry, Biden plans to lift refugee cap in May","President Joe Biden plans to lift his predecessor’s historically low cap on refugees by next month, after initially moving only to expand the eligibility criteria for resettlements and getting swift blowback from allies in return.
In an emergency determination signed Friday, Biden stated the admission of up to 15,000 refugees set by President Donald Trump this year “remains justified by humanitarian concerns and is otherwise in the national interest.” But if the cap is reached before the end of the current budget year and the emergency refugee situation persists, then..."
132,Hirono: Anti-Asian hate bill chance for Senate to 'take a stand',"As the Senate prepares to take up her anti-Asian hate crime bill this week, Sen. Mazie Hirono, D-Hawaii, said Monday the bill represents a chance for lawmakers to ""take a stand"" against rising anti-Asian attacks.
""At a time when the Asian America Pacific Islander community feels under siege and vulnerable, this is a bill that enables the Senate at least, and I know followed by the House, to take a stand and say these kinds of unprovoked attacks targeting Asian Americans are totally unacceptable,"" Hirono told the hosts of ABC's..."
133,Senate moves toward bipartisan endgame on AAPI hate crimes legislation,"The Senate is on track to vote this week on an expanded version of a bill to address a rise in violence against Asian Americans and Pacific Islanders, as a House committee plans work on its own similar legislation Tuesday.
Senate Majority Leader Charles E. Schumer of New York said on the floor Monday that several proposed amendments to Hawaii Democratic Sen. Mazie K. Hirono’s legislation would be wrapped into a substitute amendment that would get a vote “in the coming days.”
“We’re seeing that when the Senate is given..."
134,Senate advances measure to curb anti-Asian American hate crimes,"The Senate voted to advance Asian American hate crime legislation on Wednesday despite criticisms from some Republicans that the measure is a messaging bill that could result in federal overreach.
Senate Majority Leader Chuck Schumer, a New York Democrat, said the bill was urgently needed to address anti-Asian hate crimes that have surged in the wake of the COVID-19 pandemic that originated in China.
“It is a very straightforward and relatively modest bill to address a pressing and important issue in the country,” Schumer said. “It would designate a point..."
135,Iran nuclear deal: Trump pulls US out in break with Europe allies,US President Donald Trump says he will withdraw the US from an Obama-era nuclear agreement with Iran.
136,"Trump withdraws from Iran nuclear deal, isolating him further from world","President Donald Trump announced Tuesday he is quitting the Iran nuclear deal, pitting him against the United States' closest allies and leaving the future of Tehran's nuclear ambitions in question."
137,The Day The Iran Deal Died,Team Obama lives in a world of fiction. As President Trump announced to the world that he would finally put a stake through the heart of the Iran deal — the signal foreign policy
138,Trump's base-focused midterm approach tested in Ohio and Kansas races Tuesday,"President Donald Trump has injected himself into two high-stakes contests taking place on Tuesday, turning both into new tests of Trump's tactics and sway with Republican voters."
139,Trump faces political test in Ohio as five states cast votes,President Donald Trump faces a test of his political influence on Tuesday in a special congressional election in Ohio that has become a referendum on his leadership and a last chance to gauge Democratic strength ahead of November’s midterm elections.
140,"Tuesday's primaries a test of Trump's influence, hold potential for upsets: A look at the races to watch","Several states are holding primary elections Tuesday, including some contests that could prove pivotal in determining whether Republicans or Democrats will control the Senate next year."
141,"Istanbul airport reopens after terror attack leaves 41 dead, 239 injured","Turkish Prime Miniser Binali Yildirim said in a statement Wednesday that air traffic had returned to normal and “our airport has been opened to flights and departures from 2:20 (local time) on,” following the terror attack at an Istanbul airport that left 41 dead and 239 injured."
142,"Istanbul airport resumes flights amid blood, shattered glass","Istanbul, Turkey (CNN)As passengers at Istanbul's Ataturk Airport waited to check in and board their flights Wednesday, workers picked up shattered glass and washed off blood that was barely dry."
143,Istanbul Airport Attack Leaves at Least 41 Dead,"Three suicide attackers killed at least 41 people and wounded dozens more at Istanbul’s main airport on Tuesday night, in the latest in a string of terrorist attacks in Turkey, a NATO ally once seen as a bastion of stability but now increasingly consumed by the chaos of the Middle East."
144,Bernie Sanders secures five minutes with Pope Francis,"Bernie Sanders privately met with Pope Francis at the pontiff’s residence in Vatican City on Saturday morning before the pope left on a trip for Greece.
The Democratic presidential candidate was joined by his wife Jane, advisor Jeffrey Sachs, Sachs’ wife, and Bishop Marcelo Sanchez Sorondo — who translated — for a roughly five-minute meeting before Pope Francis left for a trip to Greece, Sachs told POLITICO.
Sanders th"
145,"Sanders’ Visit With Pope Francis Confirmed, Implications of Vatican Trip Could Win Him New York","Vatican sources confirmed Saturday that Democratic presidential candidate Bernie Sanders met with Pope Francis minutes before the pontiff left Lesbos, Greece. The rare meeting, combined with Sanders’ visit to the Vatican this week, could prove highly influential Tuesday when New York voters take to the polls."
146,Bernie Sanders says private Meeting with Pope Francis is not an endorsement,"US Democratic presidential candidate Bernie Sanders With Pope Francis met privately on Saturday, the capstone to an unusual detour from the American election.
Said Sanders was meeting for the staff does not Constitute Reasons and an endorsement from the Holy See.
""I am an enormous fan of the pope"
147,OPINION: Iowa: Revenge of the outsiders,"Columnist Edward Luce argued Monday in the Financial Times that Donald Trump has created a new brand in politics: an upraised middle finger. Later that day in Iowa, voters rejected Trump the candidate but stole his brand: They flipped a bird at the American political elite."
148,OPINION: Marco Rubio and Bernie Sanders were the real winners in Iowa,"By the numbers, Ted Cruz won the Iowa caucuses. The technical winner among the Democrats is unclear but immaterial. Judging the victor by differences of tenths of a percentage point is a ridiculous enterprise when what’s being measured are delegate numbers, not tens of thousands of individual votes."
149,OPINION: Trump fever has broken. Cruz out-organized him. Here's what's next,"The nation’s two major political parties entrust Iowa with beginning the elimination process – that one Midwestern state representing just 1 percent of the nation’s population, with an electorate not reflective of America writ large (Iowa’s population is whiter, more Protestant and decidedly less black and Hispanic than the rest of the country)."
150,America's economic recovery hits a major roadblock,"This summer, the American economic recovery hit a roadblock.
The US economy grew at an annualized rate of only 2% in the third quarter, the Bureau of Economic Analysis reported Thursday.
The highly infectious Delta variant of the coronavirus, supply chain chaos, worker shortages, sluggish jobs numbers and higher prices weighed on economic activity.
It was far lower than the 2.7% economists had predicted and the slowest pace of growth since the start of the recovery, as well as a massive step down from the 6.7% rate in the spring.
Aside from the monumental downturn in the first half of 2020, when the economy ground to..."
151,"Delta variant, shortages severely restrict U.S. economic growth in third quarter","The U.S. economy grew at its slowest pace in more than a year in the third quarter as a resurgence in COVID-19 cases further stretched global supply chains, leading to shortages of goods like automobiles that slammed the brakes on consumer spending.
The weaker-than-expected growth reported by the Commerce Department on Thursday also reflected decreasing pandemic relief money from the government to businesses, state and local governments as well as households. Hurricane Ida, which devastated U.S. offshore energy production at the end of August also restrained economic growth.
But there..."
152,Economic Growth Slows to 2 Percent on Slowdown in Consumer Spending and COVID-19 Impacts,"The U.S. economy expanded at an annualized pace of 2.0 percent in the third quarter, a figure that is well below forecasts, driven down by a slowdown in consumer spending and a resurgence in COVID-19 cases that led to renewed restrictions and delays of reopening of businesses.
Data released on Oct. 28 by the Commerce Department show gross domestic product (GDP) rising by 2.0 percent in the third quarter, after growing 6.7 percent in the second quarter. Economists polled by Dow Jones expected third-quarter GDP to rise by 2.8 percent, with Thursday’s..."
153,"10 Senate Republicans Outline $600B Counteroffer, Will Meet With Biden Monday","Ten Republican senators on Sunday requested a meeting with President Biden to detail a smaller counterproposal to his $1.9 trillion coronavirus relief package, an alternative they believe could be approved ""quickly by Congress with bipartisan support.""
Later Sunday, Biden invited the senators to the White House. The meeting is scheduled to take place at 5 p.m. ET Monday, and the White House said it would focus on how Biden's plan ""will deliver urgently needed relief to working families and small businesses, and speed up vaccinations and the reopening of schools.""..."
154,"Biden, GOP senators to discuss slimmed-down Covid relief bill pitch","President Joe Biden has agreed to meet a group of 10 Republican senators who have proposed a slimmed-down coronavirus relief plan that they say can win bipartisan support.
The Republicans' proposed package is much smaller than Biden's $1.9 trillion proposal, and includes $160 billion for vaccines, $4 billion for health and substance abuse services, the continuation of current unemployment aid and unspecified ""targeted"" economic assistance and help for schools.
The invitation came late Sunday after the senators requested the meeting.
""We appreciate the president’s quick response to our letter, and..."
155,GOP senators to meet Biden Monday on coronavirus relief as Dems ready to pass bill without Republican support,"A group of 10 Republican senators is headed to the White House Monday to discuss a potential compromise on a coronavirus relief plan that could gain bipartisan support to pass the Senate, in the first sign of significant talks between the parties on the issue.
The move comes as Democrats in Congress this week are taking the procedural steps necessary to pass a relief bill without any Republican support, using a brute-force legislative tactic called budget reconciliation that would allow them to circumvent a GOP filibuster.
And it..."
156,Federal agency recommends Kellyanne Conway be fired from White House,"WASHINGTON — A federal watchdog agency is recommending that White House counselor Kellyanne Conway be fired for repeatedly violating a law that limits certain political activities of federal employees.
The U.S. Office of Special Counsel says Conway has become a “repeat offender” of the Hatch Act by disparaging Democratic presidential candidates while speaking in her official capacity during television interviews and on social media.
A White House spokesman calls the Office of Special Counsel’s actions “deeply flawed.”"
157,Government watchdog: Trump aide Conway should be fired for political comments,"WASHINGTON (Reuters) - A U.S. government watchdog agency on Thursday recommended Kellyanne Conway, a senior adviser to President Donald Trump, be fired for repeatedly violating U.S. law with political comments while serving in the White House."
